Input_0:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 16, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 16, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 17, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 17, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 17, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 17, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 18, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 18, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 18, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 18, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 19, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 19, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 19, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 19, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 20, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 20, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 20, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 20, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 21, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 21, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 21, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 21, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 22, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 22, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 22, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 22, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 23, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 23, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 23, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 23, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 24, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 24, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 24, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 24, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 25, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 25, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 25, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 25, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 26, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 26, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 26, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 26, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 27, segmentId: 0, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: CG3, cellNumber: 27, segmentId: 0, fractionAlong: 0.5]
